what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1480488847336
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1480488847336
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1480488847336
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1480488847338
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1480488847338
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1480488847339
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1480488847340
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1480488847340
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1480488847341
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1480488847341
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1480488847342
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1480488847342
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1480488847343
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1480488847343
os,sysinfo,,,"win32",1480488847345
arch,sysinfo,,,"x86",1480488847345
ws,sysinfo,,,"win32",1480488847346
locale,sysinfo,,,"zh_CN",1480488847346
processors,sysinfo,,,"4",1480488847346
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1480488847346
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1480488847346
java.specification.name,sysinfo,,,"Java Platform API Specification",1480488847346
java.specification.vendor,sysinfo,,,"Oracle Corporation",1480488847346
java.specification.version,sysinfo,,,"1.7",1480488847346
java.vendor,sysinfo,,,"Oracle Corporation",1480488847346
java.version,sysinfo,,,"1.7.0_09",1480488847346
java.vm.info,sysinfo,,,"mixed mode, sharing",1480488847346
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1480488847346
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1480488847346
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1480488847346
java.vm.specification.version,sysinfo,,,"1.7",1480488847346
java.vm.vendor,sysinfo,,,"Oracle Corporation",1480488847346
java.vm.version,sysinfo,,,"23.5-b02",1480488847346
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1480488847467
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480488849949
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480488850063
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480488864550
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480488868994
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480488869073
error,log,,,"Internal Error",1480488871040
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1480488873836
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1480488879101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480488882974
